CellID  Radius         Angle     
8       4.200000       318.070000
9       14.710000      250.270000
10      14.680000      116.950000
15      0.640000       87.280000 
16      11.130000      276.820000
17      1.790000       287.180000
18      15.380000      52.010000 
19      2.280000       255.190000
20      10.400000      310.800000
21      1.220000       225.870000
22      0.280000       153.810000
26      4.710000       74.460000 
27      0.450000       61.100000 
28      1.460000       197.410000
