CellID    Radius    Angle
17        16        45 
18        16        205 
19        16        255 
20        16        340
21        17        270 
28        16        80
29        17        320 
30        17        162
31        16        185 
32        16        150 
33        16        310 
42        16        30
43        16        240 
44        16        35
45        17        210 
46        16.5      28
47        16        290
55        2.5       80
56        17        213
58        17        213
59        17        55
60        16        330
61        16        85
75        13        35
76        12        130        
