CellID    Radius    Angle
17        16        45 
18        16        200 
19        16        255 
20        16        340
21        16.5      260 
28        16        80
29        16.5      320 
30        16.5      162
31        16        185 
32        16        145
33        16        300 
42        16        30
43        16        230 
44        16        35
45        16.5      210 
46        16.5      28
47        16        280
55        3.5       80
56        16.5      213
58        16.5      215
59        16.5      55
60        16        335
61        16        85
73        15        53
74        12        110
75        15        40
76        12        110     
77        15        40  
90        12        40
91        15        90
92        15        110 
