CellID  Radius         Angle     
15      16.450000      92.070000 
16      10.420000      52.190000 
17      14.440000      202.280000
18      4.240000       135.400000
19      8.420000       282.050000
20      7.910000       147.810000
21      9.700000       283.060000
22      6.880000       259.070000
26      10.730000      291.230000
27      15.760000      70.190000 
28      13.880000      256.490000
29      16.150000      195.820000
30      13.750000      224.980000
31      8.990000       176.150000
32      7.310000       305.690000
33      9.840000       224.290000
34      11.120000      94.940000 
40      16.690000      61.000000 
41      15.230000      67.620000 
42      14.930000      49.050000 
43      14.470000      71.170000 
44      8.310000       172.530000
45      11.680000      52.510000 
46      4.500000       107.530000
47      15.650000      119.970000
48      12.610000      189.320000
54      12.670000      155.320000
55      5.150000       296.410000
56      5.340000       10.190000 
57      15.140000      61.320000 
58      14.910000      174.060000
59      11.170000      49.660000 
60      14.500000      16.050000 
61      6.540000       108.470000
62      5.000000       41.490000 
