CellID  Radius         Angle     
8       10.090000      174.160000
9       2.670000       315.390000
10      11.330000      143.690000
15      3.340000       7.340000  
16      8.760000       100.730000
17      15.020000      42.470000 
18      12.820000      242.070000
19      12.390000      50.710000 
20      9.840000       249.190000
21      0.160000       26.440000 
22      15.680000      262.680000
26      7.240000       5.370000  
27      8.880000       21.860000 
28      14.850000      266.820000
29      12.400000      111.780000
30      15.450000      187.470000
31      7.450000       249.110000
32      2.700000       262.570000
33      2.080000       187.380000
34      12.280000      177.630000
38      0.900000       139.130000
39      12.520000      68.010000 
40      1.410000       69.730000 
41      14.180000      143.260000
42      8.870000       2.990000  
43      6.270000       242.980000
44      1.540000       38.190000 
45      12.240000      71.790000 
46      11.950000      252.480000
47      11.040000      41.580000 
48      1.060000       171.350000
49      0.920000       191.840000
52      3.740000       274.910000
53      7.190000       65.620000 
54      5.690000       307.360000
55      2.760000       288.360000
56      3.510000       134.310000
57      10.970000      207.680000
58      1.240000       209.060000
59      7.390000       205.710000
60      1.470000       183.530000
61      1.230000       92.720000 
62      2.890000       261.550000
63      10.110000      227.820000
64      14.650000      225.840000
67      1.890000       52.100000 
68      0.000000       80.870000 
69      8.200000       24.720000 
70      16.760000      192.120000
71      9.050000       8.780000  
72      4.050000       276.530000
73      10.030000      97.690000 
74      15.680000      39.640000 
75      11.220000      205.570000
76      7.320000       159.030000
77      6.640000       152.390000
78      8.290000       183.510000
79      15.370000      172.210000
80      1.380000       239.740000
