CellID    Radius    Angle     
8         9.000000  211       
9         10.800000 251       
10        12.600000 217       
15        14.100000 65        
16        8.900000  323       
17        10.700000 347       
18        11.800000 124       
19        15.000000 41        
20        8.700000  290       
21        10.800000 301       
22        15.000000 149       
26        15.000000 323       
27        13.200000 106       
28        9.700000  167       
29        9.800000  209       
30        12.900000 301       
31        13.200000 83        
32        11.200000 358       
33        16.200000 150       
34        11.000000 281       
38        11.200000 192       
39        11.000000 273       
40        8.900000  288       
41        11.300000 54        
42        14.200000 210       
43        16.000000 126       
44        15.600000 58        
45        9.200000  21        
46        15.700000 210       
47        16.800000 235       
48        12.100000 164       
49        10.000000 29        
52        9.100000  1         
53        9.400000  182       
54        15.300000 325       
55        13.300000 48        
56        15.000000 130       
57        15.000000 197       
58        11.800000 52        
59        11.300000 3         
60        13.300000 15        
61        14.400000 272       
62        15.000000 170       
63        10.600000 1         
64        11.200000 197       
67        9.300000  297       
68        14.700000 299       
69        16.300000 90        
70        8.700000  140       
71        11.600000 203       
72        15.700000 290       
73        14.200000 235       
74        10.700000 232       
75        9.500000  32        
76        11.900000 106       
77        14.500000 311       
78        11.400000 33        
79        11.100000 313       
80        11.100000 109       
