CellID  Radius         Angle     
8       16.500000      170       
9       15.800000      22        
10      15.700000      151       
15      9.900000       236       
16      16.300000      134       
17      15.800000      245       
18      14.000000      351       
19      14.000000      206       
20      9.800000       203       
21      13.300000      199       
22      13.200000      164       
26      9.700000       123       
27      12.300000      278       
28      14.400000      209       
29      14.000000      349       
30      13.500000      297       
31      12.200000      286       
32      12.100000      179       
33      13.800000      226       
34      11.900000      244       
38      13.500000      304       
39      15.100000      314       
40      12.800000      58        
41      15.200000      339       
42      13.600000      339       
43      11.300000      33        
44      8.900000       7         
45      11.300000      112       
46      15.500000      36        
47      13.300000      19        
48      14.900000      200       
49      13.000000      156       
52      12.100000      115       
53      11.200000      347       
54      10.500000      14        
55      11.000000      352       
56      15.300000      260       
57      13.500000      284       
58      9.000000       208       
59      12.600000      229       
60      13.300000      47        
61      12.000000      241       
62      16.800000      295       
63      9.300000       334       
64      11.100000      344       
67      16.300000      110       
68      10.200000      234       
69      14.800000      352       
70      12.800000      272       
71      9.800000       349       
72      16.200000      228       
73      15.400000      49        
74      9.900000       194       
75      13.100000      259       
76      16.800000      161       
77      10.100000      150       
78      8.700000       95        
79      16.900000      72        
80      15.900000      52        
